日期,渠道,曝光数,访客数,加购数,下单数
2024-01-31,天猫,79,16,4,0
2024-01-31,京东,79,19,6,0
2024-01-31,拼多多,100,19,5,0
2024-01-31,抖音,147,25,6,0
2024-01-31,微信小程序,108,20,5,0
2024-02-01,天猫,497,91,24,3
2024-02-01,京东,404,61,14,2
2024-02-01,拼多多,286,47,15,0
2024-02-01,抖音,1014,187,54,3
2024-02-01,微信小程序,553,109,22,2
2024-02-02,天猫,402,59,15,2
2024-02-02,京东,474,69,14,1
2024-02-02,拼多多,299,70,22,2
2024-02-02,抖音,401,93,30,1
2024-02-02,微信小程序,146,21,6,0
2024-02-03,天猫,484,103,32,4
2024-02-03,京东,116,22,6,0
2024-02-03,拼多多,504,92,26,3
2024-02-03,抖音,422,73,22,1
2024-02-03,微信小程序,228,53,18,1
2024-02-04,天猫,137,20,5,0
2024-02-04,京东,326,57,18,1
2024-02-04,拼多多,439,69,19,2
2024-02-04,抖音,442,77,21,1
2024-02-04,微信小程序,294,62,14,1
2024-02-05,天猫,525,126,35,4
2024-02-05,京东,299,51,12,1
2024-02-05,拼多多,550,106,27,3
2024-02-05,抖音,152,38,13,0
2024-02-05,微信小程序,361,54,12,1
2024-02-06,天猫,514,86,19,3
2024-02-06,京东,298,65,20,1
2024-02-06,拼多多,89,15,4,0
2024-02-06,抖音,617,127,29,2
2024-02-06,微信小程序,446,109,27,2
2024-02-07,天猫,574,95,24,3
2024-02-07,京东,275,66,23,2
2024-02-07,拼多多,360,85,28,2
2024-02-07,抖音,479,95,33,1
2024-02-07,微信小程序,334,68,18,1
2024-02-08,天猫,233,45,14,0
2024-02-08,京东,323,47,16,0
2024-02-08,拼多多,75,18,4,0
2024-02-08,抖音,265,48,12,0
2024-02-08,微信小程序,223,32,10,0
2024-02-09,天猫,410,64,14,2
2024-02-09,京东,412,78,27,3
2024-02-09,拼多多,438,72,21,1
2024-02-09,抖音,407,87,29,1
2024-02-09,微信小程序,375,81,22,2
2024-02-10,天猫,629,114,29,4
2024-02-10,京东,260,38,13,1
2024-02-10,拼多多,631,148,46,4
2024-02-10,抖音,798,130,30,2
2024-02-10,微信小程序,191,35,9,0
2024-02-11,天猫,692,111,27,4
2024-02-11,京东,511,109,28,4
2024-02-11,拼多多,744,130,32,4
2024-02-11,抖音,247,38,9,0
2024-02-11,微信小程序,226,35,11,0
2024-02-12,天猫,588,103,31,3
2024-02-12,京东,187,40,13,0
2024-02-12,拼多多,212,49,14,0
2024-02-12,抖音,574,91,23,1
2024-02-12,微信小程序,163,30,10,0
2024-02-13,天猫,133,20,5,0
2024-02-13,京东,488,85,28,2
2024-02-13,拼多多,272,45,14,1
2024-02-13,抖音,378,79,18,1
2024-02-13,微信小程序,220,49,14,0
2024-02-14,天猫,485,87,24,3
2024-02-14,京东,224,44,13,1
2024-02-14,拼多多,270,48,13,1
2024-02-14,抖音,147,24,7,0
2024-02-14,微信小程序,403,75,20,1
2024-02-15,天猫,198,33,10,0
2024-02-15,京东,201,48,10,0
2024-02-15,拼多多,208,49,12,0
2024-02-15,抖音,40,10,3,0
2024-02-15,微信小程序,226,37,12,0
2024-02-16,天猫,414,98,24,3
2024-02-16,京东,258,59,17,1
2024-02-16,拼多多,208,50,14,1
2024-02-16,抖音,457,101,27,1
2024-02-16,微信小程序,196,40,11,0
2024-02-17,天猫,829,189,45,8
2024-02-17,京东,474,76,25,2
2024-02-17,拼多多,200,36,11,1
2024-02-17,抖音,559,80,25,1
2024-02-17,微信小程序,559,124,30,3
2024-02-18,天猫,599,113,26,3
2024-02-18,京东,267,57,16,2
2024-02-18,拼多多,383,62,17,1
2024-02-18,抖音,652,101,21,1
2024-02-18,微信小程序,455,84,21,2
2024-02-19,天猫,267,54,16,1
2024-02-19,京东,497,74,20,2
2024-02-19,拼多多,385,59,20,1
2024-02-19,抖音,558,85,18,1
2024-02-19,微信小程序,211,34,10,0
2024-02-20,天猫,708,118,34,4
2024-02-20,京东,131,22,5,0
2024-02-20,拼多多,425,73,20,2
2024-02-20,抖音,1260,195,59,3
2024-02-20,微信小程序,216,31,11,0
2024-02-21,天猫,389,58,18,1
2024-02-21,京东,248,52,16,1
2024-02-21,拼多多,336,58,17,1
2024-02-21,抖音,532,76,18,1
2024-02-21,微信小程序,189,33,7,0
2024-02-22,天猫,267,46,11,0
2024-02-22,京东,232,46,16,0
2024-02-22,拼多多,146,35,11,0
2024-02-22,抖音,69,13,3,0
2024-02-22,微信小程序,168,24,6,0
2024-02-23,天猫,407,83,21,3
2024-02-23,京东,178,36,8,1
2024-02-23,拼多多,414,79,26,2
2024-02-23,抖音,185,30,10,0
2024-02-23,微信小程序,424,67,16,1
2024-02-24,天猫,528,118,29,4
2024-02-24,京东,434,104,26,3
2024-02-24,拼多多,158,26,7,0
2024-02-24,抖音,110,21,6,0
2024-02-24,微信小程序,294,60,17,1
2024-02-25,天猫,371,68,20,1
2024-02-25,京东,386,82,22,3
2024-02-25,拼多多,287,49,15,1
2024-02-25,抖音,678,128,40,2
2024-02-25,微信小程序,132,19,4,0
2024-02-26,天猫,174,36,10,1
2024-02-26,京东,586,86,26,2
2024-02-26,拼多多,114,23,6,0
2024-02-26,抖音,796,127,28,2
2024-02-26,微信小程序,177,31,7,0
2024-02-27,天猫,222,47,15,1
2024-02-27,京东,310,52,11,2
2024-02-27,拼多多,446,70,15,2
2024-02-27,抖音,848,140,44,2
2024-02-27,微信小程序,229,51,16,1
2024-02-28,天猫,620,151,32,6
2024-02-28,京东,369,73,25,2
2024-02-28,拼多多,506,77,26,2
2024-02-28,抖音,812,126,39,2
2024-02-28,微信小程序,220,33,8,0
2024-02-29,天猫,92,14,3,0
2024-02-29,京东,204,41,12,0
2024-02-29,拼多多,261,49,13,0
2024-02-29,抖音,183,37,12,0
2024-02-29,微信小程序,266,42,13,0
2024-03-01,天猫,230,39,8,0
2024-03-01,京东,561,106,25,4
2024-03-01,拼多多,462,66,23,1
2024-03-01,抖音,188,28,6,0
2024-03-01,微信小程序,66,12,4,0
2024-03-02,天猫,405,89,23,2
2024-03-02,京东,414,68,21,2
2024-03-02,拼多多,321,48,11,1
2024-03-02,抖音,462,73,24,1
2024-03-02,微信小程序,176,41,14,0
2024-03-03,天猫,959,198,57,7
2024-03-03,京东,385,80,22,3
2024-03-03,拼多多,595,103,21,3
2024-03-03,抖音,492,95,27,1
2024-03-03,微信小程序,179,35,11,0
2024-03-04,天猫,1247,205,53,8
2024-03-04,京东,428,88,25,3
2024-03-04,拼多多,283,41,14,0
2024-03-04,抖音,61,11,2,0
2024-03-04,微信小程序,633,107,29,2
2024-03-05,天猫,784,165,48,6
2024-03-05,京东,250,44,13,1
2024-03-05,拼多多,272,60,17,1
2024-03-05,抖音,531,98,20,1
2024-03-05,微信小程序,69,16,6,0
2024-03-06,天猫,392,80,18,2
2024-03-06,京东,473,68,17,2
2024-03-06,拼多多,242,46,9,0
2024-03-06,抖音,65,12,4,0
2024-03-06,微信小程序,549,98,33,2
2024-03-07,天猫,647,138,48,5
2024-03-07,京东,217,35,9,1
2024-03-07,拼多多,86,20,7,0
2024-03-07,抖音,361,65,14,1
2024-03-07,微信小程序,245,58,20,1
2024-03-08,天猫,694,151,46,5
2024-03-08,京东,118,23,8,0
2024-03-08,拼多多,377,74,20,1
2024-03-08,抖音,435,72,17,1
2024-03-08,微信小程序,550,104,27,2
2024-03-09,天猫,822,157,35,5
2024-03-09,京东,283,46,12,1
2024-03-09,拼多多,176,42,14,0
2024-03-09,抖音,371,76,24,1
2024-03-09,微信小程序,490,76,26,2
2024-03-10,天猫,400,77,21,3
2024-03-10,京东,540,95,27,3
2024-03-10,拼多多,276,67,15,1
2024-03-10,抖音,857,134,39,2
2024-03-10,微信小程序,519,92,30,2
2024-03-11,天猫,83,14,5,0
2024-03-11,京东,200,31,10,0
2024-03-11,拼多多,186,42,10,0
2024-03-11,抖音,226,37,9,0
2024-03-11,微信小程序,61,11,3,0
2024-03-12,天猫,235,58,18,2
2024-03-12,京东,601,87,26,3
2024-03-12,拼多多,598,98,20,2
2024-03-12,抖音,619,148,49,2
2024-03-12,微信小程序,874,132,35,4
2024-03-13,天猫,760,114,28,3
2024-03-13,京东,712,108,25,3
2024-03-13,拼多多,789,149,36,4
2024-03-13,抖音,465,70,20,1
2024-03-13,微信小程序,183,29,7,0
2024-03-14,天猫,307,64,17,1
2024-03-14,京东,272,54,11,2
2024-03-14,拼多多,101,16,3,0
2024-03-14,抖音,1174,199,65,3
2024-03-14,微信小程序,97,19,4,0
2024-03-15,天猫,646,112,31,4
2024-03-15,京东,331,73,15,2
2024-03-15,拼多多,402,84,29,2
2024-03-15,抖音,312,46,14,0
2024-03-15,微信小程序,256,48,16,1
2024-03-16,天猫,773,188,45,7
2024-03-16,京东,557,83,26,2
2024-03-16,拼多多,127,22,5,0
2024-03-16,抖音,289,44,12,0
2024-03-16,微信小程序,130,28,6,0
2024-03-17,天猫,762,123,42,4
2024-03-17,京东,322,75,26,2
2024-03-17,拼多多,90,17,6,0
2024-03-17,抖音,225,45,12,0
2024-03-17,微信小程序,214,42,14,1
2024-03-18,天猫,462,80,18,3
2024-03-18,京东,407,68,14,2
2024-03-18,拼多多,412,73,25,2
2024-03-18,抖音,508,101,27,1
2024-03-18,微信小程序,313,69,17,1
2024-03-19,天猫,377,86,24,3
2024-03-19,京东,383,95,24,3
2024-03-19,拼多多,345,50,16,1
2024-03-19,抖音,242,37,11,0
2024-03-19,微信小程序,105,17,4,0
2024-03-20,天猫,488,74,22,2
2024-03-20,京东,60,14,3,0
2024-03-20,拼多多,398,97,21,3
2024-03-20,抖音,442,86,21,1
2024-03-20,微信小程序,245,61,17,1
2024-03-21,天猫,83,17,5,0
2024-03-21,京东,298,46,11,0
2024-03-21,拼多多,272,41,8,0
2024-03-21,抖音,212,37,11,0
2024-03-21,微信小程序,100,18,4,0
2024-03-22,天猫,411,76,24,3
2024-03-22,京东,587,86,30,3
2024-03-22,拼多多,162,37,10,0
2024-03-22,抖音,334,72,15,1
2024-03-22,微信小程序,344,64,13,1
2024-03-23,天猫,957,156,42,5
2024-03-23,京东,401,70,24,2
2024-03-23,拼多多,311,47,11,1
2024-03-23,抖音,514,124,30,2
2024-03-23,微信小程序,298,54,13,1
2024-03-24,天猫,597,115,26,4
2024-03-24,京东,118,29,8,0
2024-03-24,拼多多,860,139,45,4
2024-03-24,抖音,849,207,55,3
2024-03-24,微信小程序,91,18,6,0
2024-03-25,天猫,509,82,17,3
2024-03-25,京东,109,24,6,0
2024-03-25,拼多多,512,113,33,3
2024-03-25,抖音,569,87,20,1
2024-03-25,微信小程序,272,43,13,1
2024-03-26,天猫,726,117,24,4
2024-03-26,京东,430,74,23,3
2024-03-26,拼多多,458,81,24,2
2024-03-26,抖音,330,70,22,1
2024-03-26,微信小程序,429,73,20,1
2024-03-27,天猫,801,178,44,6
2024-03-27,京东,287,42,13,0
2024-03-27,拼多多,440,96,21,2
2024-03-27,抖音,83,16,4,0
2024-03-27,微信小程序,256,49,12,1
2024-03-28,天猫,206,41,14,1
2024-03-28,京东,483,88,31,3
2024-03-28,拼多多,221,37,10,0
2024-03-28,抖音,366,74,18,1
2024-03-28,微信小程序,141,35,8,0
2024-03-29,天猫,268,44,13,1
2024-03-29,京东,342,51,15,2
2024-03-29,拼多多,625,120,30,3
2024-03-29,抖音,453,102,30,1
2024-03-29,微信小程序,330,73,23,1
2024-03-30,天猫,448,67,18,2
2024-03-30,京东,294,59,20,1
2024-03-30,拼多多,577,95,33,2
2024-03-30,抖音,966,140,34,2
2024-03-30,微信小程序,467,101,22,2
2024-03-31,天猫,55,11,4,0
2024-03-31,京东,209,34,10,0
2024-03-31,拼多多,74,13,3,0
2024-03-31,抖音,171,42,13,0
2024-03-31,微信小程序,205,44,13,0
2024-04-01,天猫,482,84,25,3
2024-04-01,京东,430,74,20,3
2024-04-01,拼多多,635,99,23,3
2024-04-01,抖音,415,78,21,1
2024-04-01,微信小程序,302,57,19,1
2024-04-02,天猫,268,50,13,1
2024-04-02,京东,282,43,13,1
2024-04-02,拼多多,243,42,11,0
2024-04-02,抖音,367,69,18,1
2024-04-02,微信小程序,662,101,31,2
2024-04-03,天猫,277,56,15,2
2024-04-03,京东,91,16,4,0
2024-04-03,拼多多,348,63,22,1
2024-04-03,抖音,586,122,40,2
2024-04-03,微信小程序,173,38,8,0
2024-04-04,天猫,571,90,26,3
2024-04-04,京东,205,37,8,0
2024-04-04,拼多多,519,80,26,2
2024-04-04,抖音,94,14,4,0
2024-04-04,微信小程序,416,90,23,2
2024-04-05,天猫,117,29,8,0
2024-04-05,京东,503,107,32,3
2024-04-05,拼多多,327,63,18,1
2024-04-05,抖音,478,103,36,1
2024-04-05,微信小程序,212,36,13,0
2024-04-06,天猫,100,25,8,0
2024-04-06,京东,328,48,13,0
2024-04-06,拼多多,89,22,7,0
2024-04-06,抖音,115,19,4,0
2024-04-06,微信小程序,66,13,3,0
2024-04-07,天猫,683,103,36,3
2024-04-07,京东,263,53,16,1
2024-04-07,拼多多,437,93,25,2
2024-04-07,抖音,647,101,25,1
2024-04-07,微信小程序,128,21,7,0
2024-04-08,天猫,694,100,22,3
2024-04-08,京东,109,16,4,0
2024-04-08,拼多多,635,129,41,4
2024-04-08,抖音,178,29,8,0
2024-04-08,微信小程序,83,14,4,0
2024-04-09,天猫,603,88,29,3
2024-04-09,京东,595,100,30,3
2024-04-09,拼多多,870,163,43,5
2024-04-09,抖音,614,97,22,1
2024-04-09,微信小程序,445,104,29,2
2024-04-10,天猫,752,125,41,4
2024-04-10,京东,199,33,7,0
2024-04-10,拼多多,269,44,10,1
2024-04-10,抖音,66,12,4,0
2024-04-10,微信小程序,206,46,16,0
2024-04-11,天猫,311,47,14,1
2024-04-11,京东,298,70,20,2
2024-04-11,拼多多,521,126,29,4
2024-04-11,抖音,725,122,28,2
2024-04-11,微信小程序,256,46,15,0
2024-04-12,天猫,68,12,3,0
2024-04-12,京东,87,16,5,0
2024-04-12,拼多多,193,31,9,0
2024-04-12,抖音,142,21,6,0
2024-04-12,微信小程序,159,37,8,0
2024-04-13,天猫,297,64,16,1
2024-04-13,京东,236,50,12,2
2024-04-13,拼多多,341,64,14,2
2024-04-13,抖音,924,205,65,3
2024-04-13,微信小程序,456,76,26,1
2024-04-14,天猫,404,88,29,2
2024-04-14,京东,388,68,20,1
2024-04-14,拼多多,254,43,13,1
2024-04-14,抖音,586,88,24,1
2024-04-14,微信小程序,258,37,12,0
2024-04-15,天猫,350,80,21,3
2024-04-15,京东,427,91,29,3
2024-04-15,拼多多,145,22,7,0
2024-04-15,抖音,364,71,19,1
2024-04-15,微信小程序,242,43,14,0
2024-04-16,天猫,311,54,12,1
2024-04-16,京东,231,35,8,1
2024-04-16,拼多多,82,18,5,0
2024-04-16,抖音,439,65,18,1
2024-04-16,微信小程序,309,72,23,1
2024-04-17,天猫,348,78,27,2
2024-04-17,京东,172,41,13,1
2024-04-17,拼多多,834,122,38,4
2024-04-17,抖音,476,96,30,1
2024-04-17,微信小程序,261,46,12,0
2024-04-18,天猫,223,48,16,0
2024-04-18,京东,193,41,10,0
2024-04-18,拼多多,252,46,10,0
2024-04-18,抖音,222,47,14,0
2024-04-18,微信小程序,203,38,11,0
2024-04-19,天猫,655,123,28,4
2024-04-19,京东,149,30,8,0
2024-04-19,拼多多,775,125,26,3
2024-04-19,抖音,339,83,29,1
2024-04-19,微信小程序,86,15,4,0
2024-04-20,天猫,393,81,22,2
2024-04-20,京东,323,69,20,2
2024-04-20,拼多多,725,124,35,3
2024-04-20,抖音,136,24,6,0
2024-04-20,微信小程序,72,13,4,0
2024-04-21,天猫,306,70,15,1
2024-04-21,京东,195,28,9,0
2024-04-21,拼多多,464,89,24,3
2024-04-21,抖音,937,212,70,3
2024-04-21,微信小程序,828,135,45,3
2024-04-22,天猫,425,87,27,2
2024-04-22,京东,496,86,18,2
2024-04-22,拼多多,581,124,40,3
2024-04-22,抖音,386,74,18,1
2024-04-22,微信小程序,229,43,10,0
2024-04-23,天猫,508,110,25,3
2024-04-23,京东,541,102,35,3
2024-04-23,拼多多,407,95,23,2
2024-04-23,抖音,102,20,5,0
2024-04-23,微信小程序,189,47,12,1
2024-04-24,天猫,270,39,11,0
2024-04-24,京东,180,28,9,0
2024-04-24,拼多多,113,17,6,0
2024-04-24,抖音,104,16,5,0
2024-04-24,微信小程序,73,17,5,0
2024-04-25,天猫,337,80,27,2
2024-04-25,京东,379,77,23,3
2024-04-25,拼多多,773,123,30,3
2024-04-25,抖音,349,81,19,1
2024-04-25,微信小程序,70,16,4,0
2024-04-26,天猫,498,78,20,3
2024-04-26,京东,305,44,10,0
2024-04-26,拼多多,97,20,5,0
2024-04-26,抖音,84,12,3,0
2024-04-26,微信小程序,651,103,36,3
2024-04-27,天猫,135,21,7,0
2024-04-27,京东,360,69,20,1
2024-04-27,拼多多,160,37,11,1
2024-04-27,抖音,140,22,8,0
2024-04-27,微信小程序,90,17,6,0
2024-04-28,天猫,496,83,19,3
2024-04-28,京东,60,11,3,0
2024-04-28,拼多多,439,90,31,2
2024-04-28,抖音,643,96,21,1
2024-04-28,微信小程序,56,10,3,0
2024-04-29,天猫,320,53,16,1
2024-04-29,京东,487,97,27,3
2024-04-29,拼多多,387,75,21,1
2024-04-29,抖音,540,126,28,2
2024-04-29,微信小程序,399,86,30,2
2024-04-30,天猫,166,25,5,0
2024-04-30,京东,112,27,6,0
2024-04-30,拼多多,105,16,4,0
2024-04-30,抖音,124,30,8,0
2024-04-30,微信小程序,159,29,10,0
2024-05-01,天猫,880,133,37,5
2024-05-01,京东,285,63,21,1
2024-05-01,拼多多,243,48,13,0
2024-05-01,抖音,178,44,10,0
2024-05-01,微信小程序,135,24,6,0
2024-05-02,天猫,681,124,26,5
2024-05-02,京东,370,63,21,1
2024-05-02,拼多多,315,68,22,2
2024-05-02,抖音,550,135,30,2
2024-05-02,微信小程序,405,62,18,1
2024-05-03,天猫,118,19,5,0
2024-05-03,京东,328,51,15,1
2024-05-03,拼多多,213,45,14,1
2024-05-03,抖音,481,83,18,1
2024-05-03,微信小程序,334,73,23,1
2024-05-04,天猫,173,29,7,0
2024-05-04,京东,280,61,18,1
2024-05-04,拼多多,405,64,14,2
2024-05-04,抖音,1010,158,34,2
2024-05-04,微信小程序,124,26,5,0
2024-05-05,天猫,340,53,17,1
2024-05-05,京东,415,70,18,2
2024-05-05,拼多多,403,61,13,1
2024-05-05,抖音,466,104,30,1
2024-05-05,微信小程序,527,112,35,3
2024-05-06,天猫,376,87,28,2
2024-05-06,京东,334,63,21,1
2024-05-06,拼多多,138,29,10,0
2024-05-06,抖音,442,88,21,1
2024-05-06,微信小程序,248,47,16,1
2024-05-07,天猫,1071,213,72,9
2024-05-07,京东,517,75,19,2
2024-05-07,拼多多,421,79,25,2
2024-05-07,抖音,72,16,5,0
2024-05-07,微信小程序,176,28,7,0
2024-05-08,天猫,386,80,18,2
2024-05-08,京东,299,70,18,2
2024-05-08,拼多多,358,55,15,1
2024-05-08,抖音,339,73,22,1
2024-05-08,微信小程序,427,78,20,2
2024-05-09,天猫,934,159,50,6
2024-05-09,京东,468,113,34,4
2024-05-09,拼多多,724,110,33,3
2024-05-09,抖音,859,135,44,2
2024-05-09,微信小程序,295,43,10,0
2024-05-10,天猫,618,98,30,4
2024-05-10,京东,701,118,29,4
2024-05-10,拼多多,325,69,18,2
2024-05-10,抖音,302,72,24,1
2024-05-10,微信小程序,295,44,13,0
2024-05-11,天猫,274,47,13,0
2024-05-11,京东,108,18,4,0
2024-05-11,拼多多,113,22,6,0
2024-05-11,抖音,169,33,10,0
2024-05-11,微信小程序,115,24,6,0
2024-05-12,天猫,302,65,14,1
2024-05-12,京东,292,64,16,2
2024-05-12,拼多多,408,73,21,1
2024-05-12,抖音,482,98,31,1
2024-05-12,微信小程序,293,50,16,1
2024-05-13,天猫,250,38,11,1
2024-05-13,京东,362,84,19,3
2024-05-13,拼多多,871,153,46,5
2024-05-13,抖音,330,69,18,1
2024-05-13,微信小程序,392,70,19,2
2024-05-14,天猫,257,40,12,0
2024-05-14,京东,687,120,38,5
2024-05-14,拼多多,509,117,24,3
2024-05-14,抖音,1753,269,60,4
2024-05-14,微信小程序,322,68,20,1
2024-05-15,天猫,440,82,23,3
2024-05-15,京东,232,35,8,1
2024-05-15,拼多多,177,35,9,0
2024-05-15,抖音,142,22,7,0
2024-05-15,微信小程序,239,36,9,0
2024-05-16,天猫,371,87,30,3
2024-05-16,京东,569,83,17,3
2024-05-16,拼多多,175,37,11,1
2024-05-16,抖音,79,18,5,0
2024-05-16,微信小程序,394,73,22,1
2024-05-17,天猫,351,54,16,1
2024-05-17,京东,214,40,9,1
2024-05-17,拼多多,657,109,25,3
2024-05-17,抖音,238,44,14,0
2024-05-17,微信小程序,318,59,19,1
2024-05-18,天猫,726,109,22,3
2024-05-18,京东,315,46,11,1
2024-05-18,拼多多,315,74,22,2
2024-05-18,抖音,345,65,15,1
2024-05-18,微信小程序,456,73,19,1
2024-05-19,天猫,456,100,33,3
2024-05-19,京东,412,83,18,3
2024-05-19,拼多多,289,45,12,0
2024-05-19,抖音,587,139,36,2
2024-05-19,微信小程序,262,53,13,1
2024-05-20,天猫,425,89,24,2
2024-05-20,京东,328,57,15,1
2024-05-20,拼多多,379,89,29,3
2024-05-20,抖音,497,120,36,2
2024-05-20,微信小程序,131,20,5,0
2024-05-21,天猫,186,29,8,0
2024-05-21,京东,100,25,7,0
2024-05-21,拼多多,69,10,2,0
2024-05-21,抖音,144,33,9,0
2024-05-21,微信小程序,173,42,12,0
2024-05-22,天猫,449,73,23,2
2024-05-22,京东,425,70,22,3
2024-05-22,拼多多,437,64,17,1
2024-05-22,抖音,518,84,28,1
2024-05-22,微信小程序,107,20,5,0
2024-05-23,天猫,1132,169,46,6
2024-05-23,京东,217,35,12,1
2024-05-23,拼多多,281,52,18,1
