订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因
DD202402088,2024-09-14,京东,,海尔 10kg 滚筒洗衣机,1899,5.0,9495.0,U0110,安徽,已完成,家电,1.0,顺丰,3.0,2024-09-15,2024-09-17,
DD202401870,2024/12/13,天猫,P046,网易严选 保温杯,99,,,U0075,广西,已完成,家居日用,1.0,顺丰,3.0,2024-12-14,2024-12-16,
DD202404170,2024-06-16,天猫,P026,小米电视 65寸,"2,999",2.0,5998.0,U1048,四川,已完成,家电,1.0,京东物流,3.0,2024-06-17,2024/6/20,
DD202404810,2024-10-15,微信小程序,P038,全棉时代 洗脸巾,¥49.9,2.0,99.8,U0883,广东,已完成,美妆个护,1.0,顺丰,3.0,2024-10-16,2024/10/18,
DD202404061,2024-05-12,天猫,,得力 A4 打印纸,29.9,2.0,,U1096,北京,已完成,电脑办公,3.0,邮政,6.0,2024-05-14,2024-05-18,
DD202403456,2024-06-12,京东,P043,星巴克 咖啡豆,128,1.0,128.0,U0500,海南,已完成,食品,3.0,邮政,6.0,2024-06-16,2024-06-23,
DD202401284,2024-12-28,天猫,P020,格力 电风扇,199,2.0,398.0,U0364,湖北,已取消,家电,,,,,,
DD202404200,2024/3/12,天猫,P008,索尼 WH-1000XM5 耳机,2399,3.0,7197.0,U0957,福建,已完成,手机数码,1.0,顺丰,3.0,2024-03-13,2024-03-15,
DD202404275,2024-03-05,抖音,P010,小米 充电宝20000mAh,129,-1.0,-129.0,U0638,广东,已退款,手机数码,,,,,,物流太慢
DD202403776,2024-07-29,京东,P023,九阳破壁机,399,5.0,1995.0,U0127,吉林,已取消,家电,,,,,,
DD202403720,2024-11-02,京东,P021,米家扫地机器人 ,1599,2.0,3198.0,U1477,贵州,已取消,家电,,,,,,
DD202402595,2024-03-30,微信小程序,P036,云南白药 牙膏,¥39.9,3.0,119.69999999999999,U0714,广东,已完成,美妆个护,1.0,京东物流,3.0,2024/3/31,2024-04-02,
DD202401206,2024-03-12,天猫,P050,宜家 收纳箱,69,1.0,69.0,U1482,浙江,待发货,家居日用,,,,,,
DD202403257,2024-10-26,京东,P019,海尔 10kg 滚筒洗衣机,"1,899",4.0,7596.0,U0339,湖南,已完成,家电,1.0,京东物流,3.0,2024-10-29,2024/10/31,
DD202400271,2024-12-22,微信小程序,P049,苏泊尔 炒锅 ,,5.0,,U1237,,已发货,家居日用,1.0,顺丰,3.0,2024-12-23,,
DD202403435,2024-03-15,京东,P005,荣耀 Magic6,¥3999,3.0,11997.0,,浙江,已发货,手机数码,2.0,中通,4.0,2024-03-16,,
DD202403844,2024-08-01,天猫,P038,全棉时代 洗脸巾,,3.0,,U0486,湖南,已完成,美妆个护,3.0,邮政,6.0,2024-08-03,2024-08-07,
DD202400165,2024/4/22,天猫,P020,格力 电风扇,199,1.0,199.0,U0166,江苏,待发货,家电,,,,,,
DD202401215,2024-08-15,,P039,完美日记 口红,89,3.0,267.0,U0543,陕西,已发货,美妆个护,2.0,圆通,4.0,2024-08-18,,
DD202404772,2024-03-12,京东,P049,苏泊尔 炒锅,159,1.0,159.0,U1410,浙江,已完成,家居日用,2.0,中通,4.0,2024-03-15,2024/3/19,
DD202400062,2024-07-28,拼多多,P015,华为平板 MatePad 11,¥2199,5.0,10995.0,U0573,四川,已完成,电脑办公,2.0,圆通,4.0,2024-07-29,2024-08-02,
DD202402102,2024-01-30,微信小程序,P032,太平鸟 牛仔裤,¥259,1.0,,U0808,湖北,已完成,服饰,1.0,顺丰,3.0,2024/1/31,2024-02-02,
DD202403361,2024-03-05,微信小程序,P023,九阳破壁机,399,-1.0,-399.0,U1023,湖南,已退款,家电,,,,,,七天无理由
DD202401402,2024-02-17,京东,P004,小米 14 12+256G,¥4299,5.0,,U1052,福建,已完成,手机数码,1.0,京东物流,3.0,2024-02-18,2024-02-21,
DD202401343,2024-08-28,天猫,,全棉时代 洗脸巾,¥49.9,5.0,249.5,U0463,湖南,已完成,美妆个护,1.0,顺丰,3.0,2024/8/29,2024-08-30,
DD202403157,2024-05-24,天猫,P020,格力 电风扇,¥199,4.0,,,广西,待发货,家电,,,,,,
DD202401802,,抖音,P021,米家扫地机器人,¥1599,0.0,,U0842,广东,已完成,家电,2.0,中通,4.0,,,
DD202400551,2024-10-28,抖音,P010,小米 充电宝20000mAh,129,4.0,516.0,U1193,湖南,已完成,手机数码,1.0,顺丰,3.0,2024-10-29,2024-10-30,
DD202404711,2024-04-01,天猫,P032,太平鸟 牛仔裤,¥259,2.0,518.0,U0070,浙江,已完成,服饰,2.0,中通,4.0,2024/4/3,2024-04-05,
DD202404646,2024-09-01,京东,P016,得力A4打印纸,29.9,3.0,89.69999999999999,U0642,四川,已完成,电脑办公,2.0,中通,4.0,2024-09-03,2024-09-06,
DD202403486,2024-03-28,抖音,P018,美的 1.5匹空调,¥2799,-1.0,-2799.0,U1004,河北,已退款,家电,,,,,,物流太慢
DD202401600,2024/12/3,天猫,P019,海尔10kg滚筒洗衣机,1899,5.0,9495.0,U0409,北京,已完成,家电,2.0,圆通,4.0,2024-12-05,2024-12-08,
DD202402920,2024-06-21,天猫,,太平鸟 牛仔裤,259,-1.0,-259.0,U0709,四川,已退款,服饰,,,,,,七天无理由
DD202404028,2024-03-15,京东,P022,苏泊尔电饭煲,299,5.0,1495.0,U1056,山东,已发货,家电,1.0,京东物流,3.0,2024-03-17,,
DD202402073,2024-05-08,天猫,P007,AirPods Pro 2,1899,2.0,3798.0,U0634,广东,已完成,手机数码,2.0,圆通,4.0,2024/5/10,2024-05-12,
DD202403087,2024-12-18,京东,P022,苏泊尔电饭煲,,2.0,,U0910,湖南,待发货,家电,,,,,,
DD202400293,2024-12-06,天猫,P032,太平鸟 牛仔裤,259,5.0,1295.0,U1007,浙江,已完成,服饰,1.0,京东物流,3.0,2024-12-07,2024-12-08,
DD202401333,2024-12-25,天猫,P036,云南白药牙膏,39.9,4.0,159.6,U1196,山东,已完成,美妆个护,2.0,圆通,4.0,2024-12-27,2024-12-29,
DD202401046,2024-07-02,天猫,P012,机械键盘87键,¥199,2.0,398.0,U1017,湖北,已完成,电脑办公,1.0,京东物流,3.0,2024-07-03,2024-07-06,
DD202404247,2024-02-11,拼多多,P033,兰蔻小黑瓶精华,760,1.0,760.0,U1267,山西,已发货,美妆个护,3.0,邮政,6.0,2024-02-13,,
DD202401183,2024-01-26,京东,P048,公牛 插线板,49.9,1.0,49.9,U0466,广东,已完成,家居日用,1.0,顺丰,3.0,2024-01-27,2024-01-29,
DD202400611,2024-05-29,天猫,P008,索尼 WH-1000XM5 耳机,¥2399,5.0,11995.0,U0814,广东,已取消,手机数码,,,,,,
DD202401342,2024-11-16,京东,P005,荣耀 Magic6,3999,1.0,3999.0,U0267,江苏,已取消,手机数码,,,,,,
DD202404210,2024-12-18,天猫,P038,全棉时代 洗脸巾,49.9,3.0,149.7,U0829,湖北,已完成,美妆个护,3.0,邮政,6.0,2024-12-20,2024-12-25,
DD202402093,2024-04-23,天猫,P012,机械键盘87键,199,3.0,597.0,U1193,河北,已取消,电脑办公,,,,,,
DD202404026,2024-04-28,拼多多,P016,得力 A4 打印纸 ,¥29.9,,,U0814,广西,已完成,电脑办公,1.0,京东物流,3.0,2024-04-29,2024-05-02,
DD202400970,2024-11-16,抖音,P048,公牛 插线板 ,49.9,2.0,99.8,U0603,安徽,已完成,家居日用,1.0,顺丰,3.0,2024-11-17,2024-11-18,
DD202403246,2024-11-04,天猫,P018,美的 1.5匹空调,2799,2.0,5598.0,U1409,北京,已发货,家电,2.0,中通,4.0,2024-11-05,,
DD202403108,2024-07-17,天猫,P022,苏泊尔电饭煲,299,3.0,897.0,U0116,浙江,已完成,家电,3.0,邮政,6.0,2024-07-19,2024-07-23,
DD202400411,2024/9/7,拼多多,P039,完美日记 口红,¥89,1.0,89.0,U1310,湖南,已取消,美妆个护,,,,,,
DD202400054,2024-06-04,京东,P034,雅诗兰黛 小棕瓶,950,4.0,3800.0,U1442,浙江,已完成,美妆个护,1.0,京东物流,3.0,2024-06-05,2024-06-07,
DD202400461,2024-06-03,天猫,P017,得力 文件夹,,2.0,,U0164,辽宁,已取消,电脑办公,,,,,,
DD202400404,2024-09-01,抖音,P045,金龙鱼 食用油5L,¥89.9,5.0,449.5,U0931,天津,已发货,食品,1.0,顺丰,3.0,2024-09-02,,
DD202403481,2024-03-22,拼多多,P038,全棉时代 洗脸巾,49.9,2.0,99.8,U0902,安徽,已完成,美妆个护,1.0,京东物流,3.0,2024-03-23,2024-03-26,
DD202404706,20241209,天猫,P028,李宁 跑步鞋,,1.0,,U0394,广东,待发货,服饰,,,,,,
DD202402908,2024-07-24,拼多多,P017,得力 文件夹,15.9,3.0,23.85,U0201,江苏,已完成,电脑办公,2.0,圆通,4.0,2024-07-26,2024-07-30,
DD202401230,2024-05-09,京东,P019,海尔 10kg 滚筒洗衣机,¥1899,2.0,3798.0,U1204,浙江,已完成,家电,1.0,顺丰,3.0,2024/5/10,2024-05-11,
DD202402379,2024-01-15,京东,,iPhone 15 Pro 256G,8999,2.0,17998.0,U0044,广西,已完成,手机数码,2.0,中通,4.0,2024-01-16,2024-01-19,
DD202402982,2024-07-14,京东,P046,网易严选 保温杯,99,2.0,198.0,U0726,广东,已完成,家居日用,1.0,京东物流,3.0,2024-07-15,2024-07-16,
DD202400185,2024-09-09,拼多多,,李宁 跑步鞋,¥399,4.0,1596.0,U0905,湖南,已发货,服饰,2.0,中通,4.0,2024-09-11,,
DD202404177,2024-02-02,抖音,P030,南极人棉袜5双装,29.9,1.0,29.9,U0613,四川,已发货,服饰,1.0,京东物流,3.0,2024-02-03,,
DD202401872,2024-05-09,抖音,P017,得力 文件夹,,-3.0,,U0366,江苏,已退款,电脑办公,,,,,,不想要了
DD202404164,2024-04-28,天猫,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0179,山东,已完成,食品,2.0,圆通,4.0,2024-04-29,2024-05-01,
DD202400199,2024-05-19,天猫,P019,海尔 10kg 滚筒洗衣机,¥1899,5.0,9495.0,U0647,北京,待发货,家电,,,,,,
DD202403042,2024-07-09,天猫,P002,iPhone 15 Pro 256G,¥8999,2.0,17998.0,U0012,江西,已发货,手机数码,1.0,顺丰,3.0,2024-07-10,,
DD202401446,2024-02-18,拼多多,P002,iPhone 15 Pro 256G,8999,3.0,26997.0,U0521,湖北,待发货,手机数码,,,,,,
DD202401806,2024-12-07,京东,P032,太平鸟牛仔裤,¥259,4.0,1036.0,U0840,贵州,已发货,服饰,1.0,顺丰,3.0,2024-12-08,,
DD202401166,2024-02-01,京东,P038,全棉时代 洗脸巾,¥49.9,4.0,199.6,U0746,福建,已完成,美妆个护,3.0,邮政,6.0,2024-02-04,2024-02-07,
DD202401731,2024/3/25,天猫,P044,良品铺子 零食大礼包,139,5.0,695.0,U1120,湖北,已发货,食品,1.0,顺丰,3.0,2024/3/26,,
DD202400675,2024-07-09,抖音,P010,小米 充电宝20000mAh,¥129,5.0,645.0,U1291,浙江,已完成,手机数码,3.0,邮政,6.0,2024-07-12,2024-07-17,
DD202402819,2024/7/28,微信小程序,P021,米家扫地机器人,1599,5.0,7995.0,U0009,陕西,已完成,家电,1.0,顺丰,3.0,2024-07-29,2024-08-02,
DD202403606,2024/6/5,拼多多,P003,华为 Mate 60 Pro,6999,-3.0,-20997.0,U0477,安徽,已退款,手机数码,,,,,,七天无理由
DD202400702,2024-01-02,京东,P005,荣耀 magic6,3999,5.0,19995.0,U0193,湖南,待发货,手机数码,,,,,,
DD202402493,2024-11-19,京东,P041,蒙牛 纯牛奶24盒,69.9,2.0,,U0122,广东,已完成,食品,1.0,京东物流,3.0,2024/11/20,2024-11-23,
DD202402039,2024/1/22,京东,P007,AirPods Pro 2,"1,899",5.0,9495.0,U0440,山东,已完成,手机数码,1.0,京东物流,3.0,2024-01-23,2024-01-27,
DD202403889,2024-05-10,拼多多,P004,小米1412+256G,4299,5.0,21495.0,U0736,湖北,已完成,手机数码,1.0,京东物流,3.0,2024-05-11,2024-05-13,
DD202400063,2024-06-25,拼多多,P042,农夫山泉 矿泉水,36,-3.0,-108.0,U0658,广东,已退款,食品,,,,,,七天无理由
DD202404136,2024-07-08,天猫,P046,网易严选 保温杯,¥99,4.0,396.0,U1288,吉林,已完成,家居日用,2.0,中通,4.0,2024-07-09,2024-07-13,
DD202402294,2024-06-05,天猫,P002,iPhone 15 Pro 256G,8999,4.0,35996.0,U1274,湖南,已完成,手机数码,1.0,京东物流,3.0,2024-06-06,2024-06-07,
DD202403391,2024-11-19,天猫,P049,苏泊尔 炒锅,159,4.0,636.0,U1156,北京,已完成,家居日用,2.0,圆通,4.0,2024-11-21,2024/11/25,
DD202400900,2024-06-13,京东,P026,小米电视 65寸,2999,-1.0,-2999.0,U0708,山东,已退款,家电,,,,,,质量问题
DD202404112,2024-10-02,天猫,P008,索尼 WH-1000XM5 耳机,2399,0.0,,U1046,浙江,待发货,手机数码,,,,,,
DD202404130,2024-04-17,拼多多,P047,全棉时代 浴巾,¥79,5.0,395.0,U0201,北京,已发货,家居日用,1.0,顺丰,3.0,2024-04-18,,
DD202401742,,拼多多,P039,完美日记 口红,89,5.0,445.0,,河南,已完成,美妆个护,3.0,邮政,6.0,,,
DD202402344,2024/2/10,拼多多,P034,雅诗兰黛 小棕瓶,950,3.0,2850.0,U0510,广东,待发货,美妆个护,,,,,,
DD202404238,2024-08-15,拼多多,P040,三只松鼠 坚果礼盒,99,3.0,297.0,U0347,江西,已完成,食品,1.0,顺丰,3.0,2024/8/16,2024-08-17,
DD202402680,20240327,微信小程序,P039,完美日记 口红,89,2.0,178.0,U1381,广东,已完成,美妆个护,1.0,京东物流,3.0,2024-03-28,2024-03-30,
DD202401470,20240112,拼多多,P012,机械键盘 87键 ,199,3.0,597.0,U0488,上海,已完成,电脑办公,2.0,中通,4.0,2024-01-13,2024-01-15,
DD202404019,2024-03-09,京东,P032,太平鸟 牛仔裤,¥259,3.0,777.0,U0493,浙江,已完成,服饰,1.0,京东物流,3.0,2024/3/10,2024-03-12,
DD202402884,2024/12/10,天猫,P036,云南白药 牙膏,39.9,1.0,39.9,,陕西,已发货,美妆个护,1.0,京东物流,3.0,2024-12-11,,
DD202404461,2024-11-07,拼多多,P007,AirPods Pro 2,1899,2.0,,U0315,安徽,已发货,手机数码,2.0,中通,4.0,2024-11-08,,
DD202400772,2024-12-13,拼多多,P002,iPhone 15 Pro 256G,,2.0,,U0705,江西,已完成,手机数码,1.0,顺丰,3.0,2024-12-14,2024-12-15,
DD202402919,2024-07-20,天猫,P041,蒙牛 纯牛奶24盒,69.9,1.0,69.9,U1314,四川,已完成,食品,2.0,中通,4.0,2024-07-22,2024-07-24,
DD202403911,2024-09-14,抖音,P020,格力 电风扇,199,1.0,199.0,U0775,四川,已发货,家电,1.0,顺丰,3.0,2024-09-15,,
DD202401373,2024-11-06,京东,P027,优衣库 圆领T恤,¥79,4.0,316.0,U1036,安徽,待发货,服饰,,,,,,
DD202402907,2024-06-19,微信小程序,P034,雅诗兰黛 小棕瓶,950,5.0,4750.0,U0863,安徽,已完成,美妆个护,1.0,京东物流,3.0,2024-06-20,2024-06-24,
DD202403466,2024-12-18,京东,P040,三只松鼠 坚果礼盒,99,3.0,297.0,U1344,江苏,已完成,食品,2.0,圆通,4.0,2024-12-20,2024-12-23,
DD202402813,2024-01-06,天猫,P043,星巴克 咖啡豆,128,2.0,256.0,U0545,山东,已完成,食品,1.0,顺丰,3.0,2024-01-07,2024-01-09,
DD202402358,2024/9/14,天猫,P046,网易严选 保温杯,99,3.0,297.0,U0371,山东,已取消,家居日用,,,,,,
DD202401173,2024-11-26,天猫,P008,索尼 WH-1000XM5 耳机,2399,3.0,7197.0,U0972,湖北,已完成,手机数码,1.0,顺丰,3.0,2024-11-27,2024/11/29,
DD202400207,2024-09-21,天猫,P027,优衣库 圆领t恤,¥79,3.0,237.0,U1383,浙江,待发货,服饰,,,,,,
DD202402882,2024-03-18,京东,P017,得力 文件夹,15.9,2.0,31.8,U1007,河北,已发货,电脑办公,1.0,京东物流,3.0,2024-03-19,,
DD202401027,2024-02-03,拼多多,P017,得力 文件夹,¥15.9,5.0,79.5,U0212,山东,已完成,电脑办公,1.0,京东物流,3.0,2024-02-04,2024-02-05,
DD202402569,2024-11-17,京东,P032,太平鸟 牛仔裤 ,¥259,3.0,777.0,U0417,山东,待发货,服饰,,,,,,
DD202403227,,京东,P021,米家扫地机器人,1599,2.0,3198.0,U1107,河北,已完成,家电,1.0,京东物流,3.0,,,
DD202402141,2024-06-22,拼多多,P046,网易严选保温杯,99,0.0,,U0139,浙江,已取消,家居日用,,,,,,
DD202400481,2024-12-29,拼多多,P027,优衣库 圆领T恤,79,3.0,237.0,U0514,广东,已完成,服饰,3.0,邮政,6.0,2025/1/1,2025-01-06,
DD202402145,2024-11-27,抖音,P043,星巴克 咖啡豆,128,5.0,640.0,U1347,北京,已完成,食品,1.0,京东物流,3.0,2024-11-28,2024-11-30,
DD202400203,20240805,抖音,P050,宜家 收纳箱,69,4.0,276.0,U0743,陕西,已完成,家居日用,2.0,中通,4.0,2024-08-06,2024-08-09,
DD202404224,2024-03-05,京东,P020,格力 电风扇,199,1.0,199.0,U0787,上海,已完成,家电,1.0,京东物流,3.0,2024-03-06,2024-03-09,
DD202404282,2024-12-06,天猫,,小米电视65寸,"2,999",2.0,5998.0,U0893,广东,已完成,家电,1.0,京东物流,3.0,2024-12-07,2024-12-09,
DD202403232,2024-07-26,天猫,P043,星巴克 咖啡豆,128,2.0,256.0,U1396,辽宁,已完成,食品,2.0,中通,4.0,2024-07-28,2024/8/2,
DD202401253,2024-11-11,京东,P028,李宁 跑步鞋,,4.0,,U1126,山东,已完成,服饰,1.0,顺丰,3.0,2024-11-12,2024-11-14,
DD202404171,2024-12-08,京东,P020,格力 电风扇 ,¥199,5.0,995.0,U1138,浙江,已完成,家电,2.0,圆通,4.0,2024-12-10,2024-12-14,
DD202402388,2024-04-02,京东,P042,农夫山泉 矿泉水,36,3.0,108.0,U0405,安徽,待发货,食品,,,,,,
DD202403640,2024-09-09,微信小程序,P038,全棉时代 洗脸巾,49.9,1.0,49.9,U0448,河北,已完成,美妆个护,2.0,圆通,4.0,2024-09-11,2024/9/14,
DD202402887,2024-03-24,天猫,P022,苏泊尔电饭煲,¥299,5.0,1495.0,U1056,四川,已完成,家电,1.0,京东物流,3.0,2024-03-25,2024-03-27,
DD202400195,2024/11/11,京东,P050,宜家 收纳箱,69,2.0,138.0,U1415,福建,已取消,家居日用,,,,,,
DD202402120,2024-01-26,拼多多,P003,华为 mate 60 pro,6999,-2.0,-13998.0,U0230,北京,已退款,手机数码,,,,,,七天无理由
DD202400877,2024-12-29,京东,P008,索尼 WH-1000XM5 耳机,2399,5.0,11995.0,U0023,福建,已完成,手机数码,2.0,中通,4.0,2024/12/30,2025-01-02,
DD202400577,2024-08-14,天猫,P008,索尼 WH-1000XM5 耳机,2399,5.0,11995.0,U0320,广东,已发货,手机数码,1.0,京东物流,3.0,2024-08-15,,
DD202403320,2024-06-01,天猫,P037,海飞丝 洗发水,¥59.9,2.0,119.8,U0556,山东,已完成,美妆个护,1.0,京东物流,3.0,2024-06-02,2024-06-04,
DD202401368,2024/7/18,天猫,P046,网易严选保温杯,99,4.0,,U0173,江苏,已完成,家居日用,3.0,邮政,6.0,2024/7/20,2024/7/25,
DD202400597,2024-10-16,天猫,P018,美的 1.5匹空调,2799,3.0,8397.0,U1252,江苏,已完成,家电,2.0,圆通,4.0,2024-10-18,2024/10/21,
DD202401310,2024-03-13,京东,P018,美的1.5匹空调,2799,-1.0,-2799.0,U0697,广东,已退款,家电,,,,,,不想要了
DD202403473,2024-10-18,京东,P020,格力电风扇,199,0.0,,U1319,山东,已完成,家电,1.0,京东物流,3.0,2024-10-19,2024-10-21,
DD202403755,2024-01-29,天猫,P048,公牛 插线板,49.9,4.0,199.6,U0631,浙江,待发货,家居日用,,,,,,
DD202403044,2024-11-07,京东,P029,阿迪达斯运动外套,599,4.0,2396.0,U0460,江苏,已完成,服饰,1.0,顺丰,3.0,2024-11-08,2024-11-10,
DD202400058,2024-10-11,京东,P003,华为 Mate 60 Pro,6999,1.0,6999.0,U1308,上海,已完成,手机数码,1.0,顺丰,3.0,2024-10-12,2024-10-14,
DD202400109,2024-12-29,抖音,P036,云南白药 牙膏,¥39.9,4.0,159.6,U0625,湖南,已完成,美妆个护,2.0,圆通,4.0,2024-12-31,2025-01-03,
DD202402871,2024/7/30,微信小程序,P005,荣耀 Magic6 ,¥3999,-2.0,-7998.0,U0495,江苏,已退款,手机数码,,,,,,不想要了
DD202401390,2024-11-28,拼多多,P008,索尼 WH-1000XM5 耳机 ,"2,399",1.0,2399.0,U1100,浙江,已完成,手机数码,3.0,邮政,6.0,2024-12-01,2024-12-06,
DD202401712,2024-10-29,天猫,P022,苏泊尔电饭煲,299,5.0,1495.0,U0215,广东,已完成,家电,1.0,顺丰,3.0,2024-10-30,2024-11-01,
DD202404510,2024-07-13,天猫,P008,索尼 wh-1000xm5 耳机,2399,5.0,11995.0,U1219,浙江,已取消,手机数码,,,,,,
DD202400030,2024-04-29,京东,P032,太平鸟 牛仔裤,259,4.0,1036.0,U1195,重庆,已完成,服饰,2.0,圆通,4.0,2024-05-01,2024-05-04,
DD202401245,2024-11-03,拼多多,P039,完美日记 口红,¥89,3.0,267.0,U1310,江苏,待发货,美妆个护,,,,,,
DD202400725,2024-11-13,京东,P028,李宁 跑步鞋,399,3.0,1197.0,,贵州,已完成,服饰,1.0,京东物流,3.0,2024-11-14,2024/11/17,
DD202402111,2024-11-22,天猫,P021,米家扫地机器人,1599,3.0,4797.0,U1313,北京,已完成,家电,1.0,顺丰,3.0,2024-11-23,2024-11-25,
DD202402417,2024-06-13,抖音,P016,得力A4打印纸,29.9,3.0,89.69999999999999,U0849,四川,已发货,电脑办公,1.0,顺丰,3.0,2024-06-14,,
DD202401615,2024-12-04,拼多多,P034,雅诗兰黛 小棕瓶,950,4.0,3800.0,U0803,广东,已完成,美妆个护,2.0,中通,4.0,2024-12-05,2024-12-08,
DD202401855,2024-07-22,天猫,P007,airpods pro 2,1899,4.0,7596.0,U1422,海南,待发货,手机数码,,,,,,
DD202404750,2024-07-19,拼多多,P004,小米 14 12+256G,¥4299,1.0,4299.0,U0044,山西,已发货,手机数码,1.0,京东物流,3.0,2024-07-20,,
DD202401060,2024-11-15,拼多多,P022,苏泊尔电饭煲,¥299,0.0,,U1433,贵州,已完成,家电,3.0,邮政,6.0,2024-11-17,2024-11-24,
DD202402436,2024-06-22,京东,P022,苏泊尔电饭煲,299,2.0,598.0,U0340,福建,已完成,家电,3.0,邮政,6.0,2024/6/24,2024-06-27,
DD202402529,2024-12-12,京东,P021,米家扫地机器人,1599,1.0,1599.0,U0769,辽宁,已完成,家电,1.0,顺丰,3.0,2024-12-13,2024/12/15,
DD202403178,2024/4/23,抖音,P034,雅诗兰黛 小棕瓶,950,-2.0,-1900.0,U1248,广东,已退款,美妆个护,,,,,,物流太慢
DD202403900,2024-03-02,京东,P045,金龙鱼 食用油5l,89.9,1.0,89.9,U1365,山东,已发货,食品,1.0,顺丰,3.0,2024-03-03,,
DD202404339,2024-06-19,天猫,P008,索尼 WH-1000XM5 耳机,¥2399,3.0,7197.0,U1260,江苏,已发货,手机数码,1.0,京东物流,3.0,2024-06-20,,
DD202402018,2024-09-01,拼多多,P045,金龙鱼食用油5L,,1.0,,U0871,重庆,已完成,食品,2.0,中通,4.0,2024/9/2,2024-09-05,
DD202403076,2024-12-23,京东,P003,华为 Mate 60 Pro,¥6999,5.0,34995.0,U1256,河北,已完成,手机数码,1.0,京东物流,3.0,2024-12-24,2024-12-26,
DD202400638,2024-06-14,抖音,P046,网易严选 保温杯,99,2.0,198.0,U0013,陕西,已取消,家居日用,,,,,,
DD202400615,2024-09-29,拼多多,P034,雅诗兰黛 小棕瓶,950,3.0,2850.0,U1149,广东,已发货,美妆个护,1.0,顺丰,3.0,2024-09-30,,
DD202401399,2024-09-24,微信小程序,P002,iPhone 15 Pro 256G,¥8999,-1.0,-8999.0,U1222,广东,已退款,手机数码,,,,,,七天无理由
DD202403534,2024-07-10,抖音,P004,小米 14 12+256G,¥4299,5.0,21495.0,U0142,贵州,已发货,手机数码,1.0,顺丰,3.0,2024-07-11,,
DD202400774,2024-10-23,京东,P029,阿迪达斯 运动外套,599,5.0,2995.0,U0136,浙江,已完成,服饰,1.0,京东物流,3.0,2024-10-24,2024-10-27,
DD202403505,2024-11-02,京东,P042,农夫山泉 矿泉水,¥36,5.0,180.0,U0793,北京,已取消,食品,,,,,,
DD202400018,2024-11-05,,P009,小米手环8,249,4.0,996.0,U0216,广东,已发货,手机数码,2.0,中通,4.0,2024-11-07,,
DD202400289,2024-07-04,天猫,P006,RedmiK70,¥2499,1.0,2499.0,U1079,重庆,已完成,手机数码,1.0,顺丰,3.0,2024/7/5,2024-07-06,
DD202402324,2024-12-05,抖音,P017,得力 文件夹,¥15.9,1.0,,U0259,山东,待发货,电脑办公,,,,,,
DD202402491,2024/11/23,京东,P019,海尔 10kg 滚筒洗衣机,¥1899,1.0,1899.0,U1008,山西,已完成,家电,2.0,中通,4.0,2024-11-24,2024-11-28,
DD202401409,2024-08-18,抖音,P046,网易严选 保温杯,¥99,3.0,297.0,U1178,广东,已发货,家居日用,1.0,京东物流,3.0,2024-08-21,,
DD202401512,2024-06-21,京东,P036,云南白药牙膏,39.9,3.0,119.69999999999999,U0823,江苏,已发货,美妆个护,3.0,邮政,6.0,2024/6/23,,
