订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态,商品品类,承诺发货时效,物流商,承诺送达时效,发货时间,签收时间,退款原因,原始日期,原金额,是否有效订单
DD202401357,,抖音,P021,米家扫地机器人,1599.0,4.0,6396.0,U0091,上海,已完成,家电,1.0,顺丰,3.0,,,,,6396.0,True
DD202400435,2024-11-28,拼多多,P050,宜家收纳箱,69.0,4.0,276.0,U1261,湖北,待发货,家居日用,,未知,,,,,2024-11-28,276.0,True
DD202402398,2024-04-29,京东,P007,AirPods Pro 2,1899.0,4.0,7596.0,U0934,四川,已完成,手机数码,1.0,京东物流,3.0,2024-04-30,2024-05-03,,2024-04-29,7596.0,True
DD202402968,2024-08-25,抖音,P032,太平鸟 牛仔裤,259.0,-2.0,-518.0,U0790,四川,已退款,服饰,,未知,,,,质量问题,2024-08-25,-518.0,False
DD202401881,2024-08-08,微信小程序,P034,雅诗兰黛 小棕瓶,950.0,3.0,2850.0,U0822,广东,已完成,美妆个护,2.0,中通,4.0,2024-08-10,2024-08-13,,2024-08-08,2850.0,True
DD202401322,2024-05-09,京东,P032,太平鸟 牛仔裤,259.0,2.0,518.0,U1069,广东,已完成,服饰,1.0,京东物流,3.0,2024-05-10,2024-05-13,,2024-05-09,518.0,True
DD202402414,2024-10-09,天猫,P003,华为Mate60Pro,6999.0,4.0,27996.0,U1497,广东,已完成,手机数码,2.0,中通,4.0,2024-10-11,2024-10-15,,2024-10-09,27996.0,True
DD202401916,2024-03-12,拼多多,P027,优衣库 圆领T恤,79.0,4.0,316.0,U0122,浙江,已取消,服饰,,未知,,,,,2024-03-12,316.0,False
DD202401870,2024-12-13,天猫,P046,网易严选 保温杯,99.0,,,U0075,广西,已完成,家居日用,1.0,顺丰,3.0,2024-12-14,2024-12-16,,2024/12/13,,True
DD202401834,2024-11-24,天猫,P032,太平鸟 牛仔裤,259.0,3.0,777.0,U1195,广东,已完成,服饰,1.0,顺丰,3.0,2024-11-25,2024-11-27,,2024-11-24,777.0,True
DD202400629,2024-12-07,天猫,P008,索尼 WH-1000XM5 耳机,2399.0,0.0,0.0,U1481,湖北,已取消,手机数码,,未知,,,,,2024-12-07,,False
DD202402314,2024-12-22,天猫,P001,iPhone 15 128G,5999.0,2.0,11998.0,U0730,上海,已完成,手机数码,2.0,中通,4.0,2024-12-24,2024-12-28,,2024-12-22,11998.0,True
DD202400549,2024-11-09,京东,P019,海尔 10kg 滚筒洗衣机,,3.0,,U0523,福建,已完成,家电,2.0,圆通,4.0,2024-11-11,2024-11-16,,2024-11-09,,True
DD202402230,2024-03-16,天猫,P015,华为平板 MatePad 11 ,2199.0,2.0,4398.0,U1004,广东,已完成,电脑办公,2.0,中通,4.0,2024-03-17,2024-03-21,,2024-03-16,4398.0,True
DD202402563,2024-03-18,天猫,P017,得力 文件夹,15.9,5.0,79.5,U1148,湖南,待发货,电脑办公,,未知,,,,,2024-03-18,79.5,True
DD202402082,2024-12-25,京东,P012,机械键盘 87键,199.0,-1.0,-199.0,U1140,安徽,已退款,电脑办公,,未知,,,,七天无理由,2024-12-25,-199.0,False
DD202400278,2024-05-14,拼多多,P018,美的1.5匹空调,2799.0,2.0,5598.0,U0765,辽宁,已完成,家电,1.0,顺丰,3.0,2024-05-15,2024-05-17,,2024-05-14,5598.0,True
DD202400094,2024-04-21,抖音,P045,金龙鱼食用油5L,89.9,2.0,179.8,U0870,山东,已完成,食品,1.0,顺丰,3.0,2024-04-22,2024-04-23,,2024-04-21,179.8,True
DD202400987,2024-08-03,天猫,P016,得力A4打印纸,29.9,2.0,59.8,U0872,北京,已取消,电脑办公,,未知,,,,,2024/8/3,59.8,False
DD202401633,2024-02-11,京东,P037,海飞丝 洗发水 ,59.9,1.0,59.9,U0831,浙江,待发货,美妆个护,,未知,,,,,2024-02-11,59.9,True
DD202400650,2024-12-26,拼多多,P008,索尼 wh-1000xm5 耳机,2399.0,5.0,11995.0,U0558,广东,已完成,手机数码,2.0,中通,4.0,2024-12-28,2024-12-31,,2024-12-26,11995.0,True
DD202400135,2024-11-06,拼多多,P045,金龙鱼 食用油5l,89.9,3.0,269.70000000000005,U0117,上海,已完成,食品,1.0,顺丰,3.0,2024-11-07,2024-11-08,,2024-11-06,269.70000000000005,True
DD202400353,2024-07-16,京东,P008,索尼 wh-1000xm5 耳机,2399.0,-3.0,-7197.0,U0804,陕西,已退款,手机数码,,未知,,,,七天无理由,2024-07-16,-7197.0,False
DD202400491,2024-10-28,微信小程序,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0237,广东,已完成,食品,2.0,圆通,4.0,2024-10-30,2024-11-03,,2024-10-28,269.70000000000005,True
DD202401580,2024-11-16,天猫,P011,罗技 MX Master 3S 鼠标 ,699.0,5.0,3495.0,U1012,湖南,已发货,电脑办公,3.0,邮政,6.0,2024-11-21,,,2024-11-16,3495.0,True
DD202400721,2024-05-06,天猫,P039,完美日记 口红,89.0,-2.0,-178.0,U0822,湖北,已退款,美妆个护,,未知,,,,物流太慢,2024-05-06,-178.0,False
DD202402545,2024-12-19,拼多多,P001,iPhone 15 128G,5999.0,5.0,29995.0,U0409,广东,已发货,手机数码,2.0,圆通,4.0,2024-12-21,,,2024-12-19,29995.0,True
DD202402025,2024-12-16,拼多多,P019,海尔 10kg 滚筒洗衣机,1899.0,5.0,9495.0,U0770,辽宁,已完成,家电,2.0,圆通,4.0,2024-12-17,2024-12-23,,20241216,9495.0,True
DD202400421,2024-07-03,天猫,P028,李宁 跑步鞋 ,399.0,4.0,1596.0,U0111,江苏,已完成,服饰,1.0,京东物流,3.0,2024-07-04,2024-07-06,,2024-07-03,,True
DD202402377,2024-11-28,天猫,P020,格力 电风扇 ,199.0,2.0,398.0,U0066,浙江,已完成,家电,2.0,中通,4.0,2024-12-01,2024-12-03,,2024-11-28,398.0,True
DD202400701,2024-07-14,抖音,P038,全棉时代 洗脸巾,49.9,3.0,149.7,U0266,四川,已完成,美妆个护,2.0,圆通,4.0,2024-07-16,2024-07-22,,2024/7/14,149.7,True
DD202402401,2024-07-20,天猫,P027,优衣库 圆领t恤,79.0,4.0,316.0,U0236,内蒙古,已完成,服饰,1.0,京东物流,3.0,2024-07-21,2024-07-24,,2024-07-20,316.0,True
DD202400342,2024-03-15,天猫,P023,九阳破壁机,399.0,1.0,399.0,U0689,安徽,已完成,家电,2.0,圆通,4.0,2024-03-17,2024-03-19,,2024-03-15,399.0,True
DD202400990,2024-11-05,京东,P018,美的 1.5匹空调 ,2799.0,3.0,8397.0,U0180,福建,已发货,家电,2.0,圆通,4.0,2024-11-07,,,2024/11/5,8397.0,True
DD202400642,2024-01-05,天猫,P038,全棉时代 洗脸巾,49.9,5.0,249.5,U0703,湖北,已发货,美妆个护,2.0,圆通,4.0,2024-01-07,,,2024/1/5,249.5,True
DD202402880,2024-11-13,京东,P005,荣耀Magic6,3999.0,2.0,7998.0,U0882,福建,已完成,手机数码,2.0,中通,4.0,2024-11-14,2024-11-17,,2024-11-13,7998.0,True
DD202401189,2024-12-19,天猫,P002,iPhone 15 Pro 256G,8999.0,2.0,17998.0,U0649,浙江,已发货,手机数码,2.0,中通,4.0,2024-12-21,,,2024-12-19,17998.0,True
DD202401883,2024-12-19,京东,P012,机械键盘 87键,199.0,3.0,597.0,U0417,浙江,已发货,电脑办公,2.0,圆通,4.0,2024-12-21,,,2024-12-19,597.0,True
DD202401352,2024-09-17,抖音,P045,金龙鱼食用油5L,89.9,0.0,0.0,U1471,陕西,已发货,食品,2.0,中通,4.0,2024-09-18,,,2024-09-17,,True
DD202401428,2024-11-24,微信小程序,P035,欧莱雅 洗面奶,129.0,4.0,516.0,U0386,福建,已完成,美妆个护,2.0,中通,4.0,2024-11-26,2024-11-28,,2024-11-24,516.0,True
DD202400566,2024-12-15,天猫,P032,太平鸟 牛仔裤,259.0,5.0,1295.0,U0349,湖南,已发货,服饰,1.0,顺丰,3.0,2024-12-16,,,20241215,1295.0,True
DD202400584,2024-10-06,京东,P018,美的 1.5匹空调,,2.0,,U0531,北京,已发货,家电,1.0,京东物流,3.0,2024-10-07,,,2024-10-06,,True
DD202400621,2024-02-05,天猫,P050,宜家 收纳箱,69.0,3.0,207.0,U0631,广东,已完成,家居日用,2.0,圆通,4.0,2024-02-07,2024-02-11,,2024/2/5,207.0,True
DD202401426,2024-06-07,天猫,P050,宜家收纳箱,69.0,5.0,345.0,U1375,河南,已完成,家居日用,1.0,顺丰,3.0,2024-06-08,2024-06-09,,2024-06-07,345.0,True
DD202401602,2024-11-11,京东,P003,华为 Mate 60 Pro,6999.0,2.0,13998.0,U0484,辽宁,待发货,手机数码,,未知,,,,,2024-11-11,13998.0,True
DD202402114,2024-11-29,抖音,P018,美的1.5匹空调,2799.0,-1.0,-2799.0,U0986,广东,已退款,家电,,未知,,,,发错货,2024-11-29,-2799.0,False
DD202402084,2024-05-08,天猫,P036,云南白药 牙膏,39.9,2.0,79.8,U0267,福建,已完成,美妆个护,2.0,中通,4.0,2024-05-10,2024-05-13,,2024-05-08,79.8,True
DD202401856,2024-03-12,微信小程序,P036,云南白药 牙膏,39.9,4.0,159.6,U0552,上海,已发货,美妆个护,1.0,顺丰,3.0,2024-03-13,,,2024-03-12,159.6,True
DD202400906,2024-12-03,京东,P034,雅诗兰黛 小棕瓶,950.0,4.0,3800.0,U0437,江苏,已发货,美妆个护,1.0,顺丰,3.0,2024-12-04,,,2024-12-03,3800.0,True
DD202401391,2024-06-21,抖音,P015,华为平板MatePad11,2199.0,1.0,2199.0,U0692,重庆,已取消,电脑办公,,未知,,,,,2024-06-21,2199.0,False
DD202401534,2024-02-07,拼多多,P040,三只松鼠 坚果礼盒,99.0,3.0,297.0,U0643,福建,已完成,食品,1.0,京东物流,3.0,2024-02-08,2024-02-10,,2024-02-07,297.0,True
DD202401132,2024-03-03,天猫,P028,李宁跑步鞋,399.0,5.0,1995.0,U0127,安徽,已完成,服饰,1.0,京东物流,3.0,2024-03-04,2024-03-06,,20240303,1995.0,True
DD202400067,2024-04-19,抖音,P032,太平鸟牛仔裤,259.0,5.0,1295.0,U1487,山东,已完成,服饰,2.0,圆通,4.0,2024-04-21,2024-04-25,,2024-04-19,1295.0,True
DD202400203,2024-08-05,抖音,P050,宜家 收纳箱,69.0,4.0,276.0,U0743,陕西,已完成,家居日用,2.0,中通,4.0,2024-08-06,2024-08-09,,20240805,276.0,True
DD202402438,2024-08-19,天猫,P003,华为 Mate 60 Pro ,6999.0,1.0,6999.0,U1188,湖南,已发货,手机数码,2.0,中通,4.0,2024-08-20,,,2024-08-19,6999.0,True
DD202400507,2024-05-09,京东,P027,优衣库 圆领T恤 ,79.0,4.0,316.0,U0619,江苏,已发货,服饰,1.0,京东物流,3.0,2024-05-10,,,2024-05-09,316.0,True
DD202401268,2024-07-27,拼多多,P042,农夫山泉 矿泉水 ,36.0,1.0,36.0,U1176,湖北,已完成,食品,2.0,中通,4.0,2024-07-29,2024-08-01,,2024-07-27,36.0,True
DD202402664,2024-07-23,天猫,P037,海飞丝 洗发水,59.9,2.0,119.8,U0276,青海,已发货,美妆个护,1.0,顺丰,3.0,2024-07-24,,,20240723,119.8,True
DD202402122,2024-10-12,微信小程序,P037,海飞丝 洗发水,,3.0,,U0295,江西,已完成,美妆个护,2.0,圆通,4.0,2024-10-14,2024-10-17,,2024/10/12,,True
DD202402040,2024-11-26,拼多多,P046,网易严选 保温杯,99.0,3.0,297.0,U0870,河南,已完成,家居日用,3.0,邮政,6.0,2024-11-28,2024-12-01,,2024-11-26,297.0,True
DD202400044,2024-12-01,天猫,P047,全棉时代浴巾,79.0,2.0,158.0,U0087,广东,待发货,家居日用,,未知,,,,,20241201,158.0,True
DD202400772,2024-12-13,拼多多,P002,iPhone 15 Pro 256G,,2.0,,U0705,江西,已完成,手机数码,1.0,顺丰,3.0,2024-12-14,2024-12-15,,2024-12-13,,True
DD202400244,2024-10-30,天猫,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0108,江苏,已发货,食品,2.0,圆通,4.0,2024-11-01,,,2024-10-30,349.5,True
DD202400840,2024-12-16,天猫,P005,荣耀 Magic6,,2.0,,U0593,上海,已完成,手机数码,1.0,京东物流,3.0,2024-12-17,2024-12-20,,2024-12-16,,True
DD202400073,2024-03-04,天猫,P032,太平鸟 牛仔裤,259.0,3.0,777.0,U0805,河北,已完成,服饰,2.0,圆通,4.0,2024-03-06,2024-03-11,,2024-03-04,777.0,True
DD202402167,2024-06-16,天猫,P006,Redmi K70,2499.0,0.0,0.0,U1195,甘肃,已取消,手机数码,,未知,,,,,2024/6/16,,False
DD202402848,2024-06-04,天猫,P021,米家扫地机器人,1599.0,2.0,3198.0,U0617,广东,已发货,家电,2.0,圆通,4.0,2024-06-06,,,2024-06-04,3198.0,True
DD202400143,2024-05-10,京东,P007,AirPods Pro 2,1899.0,5.0,9495.0,U0764,四川,已取消,手机数码,,未知,,,,,2024-05-10,9495.0,False
DD202400332,2024-08-14,未知,P008,索尼 WH-1000XM5 耳机,2399.0,3.0,7197.0,U0591,重庆,已发货,手机数码,3.0,邮政,6.0,2024-08-17,,,20240814,7197.0,True
DD202402078,2024-02-23,天猫,P039,完美日记 口红,89.0,4.0,356.0,U1155,山东,已完成,美妆个护,1.0,顺丰,3.0,2024-02-24,2024-02-25,,2024/2/23,356.0,True
DD202400876,2024-10-08,京东,P007,AirPods Pro 2,1899.0,2.0,3798.0,U1081,河南,待发货,手机数码,,未知,,,,,2024-10-08,3798.0,True
DD202400074,2024-03-07,天猫,P002,iphone 15 pro 256g,8999.0,5.0,44995.0,U0732,湖南,已取消,手机数码,,未知,,,,,20240307,44995.0,False
DD202401625,2024-08-07,京东,P008,索尼 WH-1000XM5 耳机,2399.0,2.0,4798.0,U0839,山西,已发货,手机数码,2.0,圆通,4.0,2024-08-09,,,2024-08-07,4798.0,True
DD202400232,2024-01-16,天猫,P020,格力 电风扇,199.0,0.0,0.0,U0739,湖南,已完成,家电,1.0,京东物流,3.0,2024-01-17,2024-01-19,,2024-01-16,,True
DD202401443,2024-01-09,天猫,P023,九阳破壁机,399.0,0.0,0.0,U0397,福建,已退款,家电,,未知,,,,不想要了,2024-01-09,,False
DD202401698,2024-11-17,天猫,P010,小米 充电宝20000mAh,129.0,4.0,516.0,U0053,浙江,已完成,手机数码,2.0,圆通,4.0,2024-11-18,2024-11-20,,2024-11-17,516.0,True
DD202400298,2024-02-04,抖音,P043,星巴克 咖啡豆,128.0,5.0,640.0,U0037,广东,已完成,食品,1.0,顺丰,3.0,2024-02-05,2024-02-07,,2024-02-04,640.0,True
DD202400417,2024-06-02,抖音,P036,云南白药 牙膏,39.9,4.0,159.6,U0519,广东,已发货,美妆个护,1.0,顺丰,3.0,2024-06-03,,,2024-06-02,159.6,True
DD202401211,2024-02-11,京东,P047,全棉时代 浴巾,79.0,4.0,316.0,U0191,广东,待发货,家居日用,,未知,,,,,2024-02-11,316.0,True
DD202400193,2024-03-05,天猫,P033,兰蔻 小黑瓶精华,760.0,,,U0023,江苏,已完成,美妆个护,1.0,顺丰,3.0,2024-03-06,2024-03-09,,2024-03-05,,True
DD202400742,2024-02-05,天猫,P018,美的 1.5匹空调,2799.0,2.0,5598.0,U0455,广西,已取消,家电,,未知,,,,,2024-02-05,5598.0,False
DD202402630,2024-02-23,微信小程序,P006,Redmi K70 ,2499.0,5.0,12495.0,U0868,四川,已完成,手机数码,3.0,邮政,6.0,2024-02-25,2024-02-28,,2024-02-23,12495.0,True
DD202402342,,天猫,P038,全棉时代 洗脸巾,49.9,4.0,199.6,U0660,广东,已完成,美妆个护,1.0,京东物流,3.0,,,,,199.6,True
DD202401831,2024-08-20,拼多多,P008,索尼 WH-1000XM5 耳机,2399.0,3.0,7197.0,U0664,上海,已完成,手机数码,1.0,顺丰,3.0,2024-08-21,2024-08-22,,2024-08-20,7197.0,True
DD202401591,2024-06-17,抖音,P026,小米电视 65寸,2999.0,-2.0,-5998.0,U1379,安徽,已退款,家电,,未知,,,,七天无理由,2024-06-17,-5998.0,False
DD202401747,2024-06-01,微信小程序,P046,网易严选 保温杯,99.0,1.0,99.0,U0657,广东,已完成,家居日用,3.0,邮政,6.0,2024-06-03,2024-06-09,,2024-06-01,99.0,True
DD202400097,2024-06-12,拼多多,P032,太平鸟 牛仔裤,259.0,3.0,777.0,U0514,浙江,已完成,服饰,1.0,顺丰,3.0,2024-06-14,2024-06-16,,2024-06-12,777.0,True
DD202401198,2024-11-22,京东,P041,蒙牛 纯牛奶24盒,69.9,-1.0,-69.9,U1499,北京,已退款,食品,,未知,,,,七天无理由,2024/11/22,-69.9,False
DD202402678,2024-06-08,抖音,P004,小米 14 12+256G,4299.0,2.0,8598.0,U0212,广东,已完成,手机数码,1.0,顺丰,3.0,2024-06-09,2024-06-11,,2024-06-08,8598.0,True
DD202402650,2024-10-08,天猫,P007,AirPods Pro 2 ,1899.0,2.0,3798.0,U1450,浙江,已完成,手机数码,2.0,中通,4.0,2024-10-10,2024-10-13,,20241008,3798.0,True
DD202401751,2024-11-25,抖音,P012,机械键盘 87键,199.0,2.0,398.0,U0015,河南,已完成,电脑办公,1.0,顺丰,3.0,2024-11-26,2024-11-28,,2024/11/25,398.0,True
DD202402986,2024-03-26,拼多多,P015,华为平板 MatePad 11 ,2199.0,3.0,6597.0,U0615,安徽,待发货,电脑办公,,未知,,,,,2024-03-26,6597.0,True
DD202400851,2024-11-13,拼多多,P032,太平鸟 牛仔裤,,5.0,,U1354,江苏,已完成,服饰,1.0,京东物流,3.0,2024-11-14,2024-11-15,,2024-11-13,,True
DD202401677,2024-06-08,京东,P038,全棉时代 洗脸巾 ,49.9,5.0,249.5,U0236,安徽,已取消,美妆个护,,未知,,,,,2024-06-08,249.5,False
DD202402080,2024-12-16,抖音,P019,海尔 10kg 滚筒洗衣机,1899.0,-3.0,-5697.0,U0582,安徽,已退款,家电,,未知,,,,质量问题,2024-12-16,-5697.0,False
DD202402996,2024-02-03,抖音,P002,iPhone 15 Pro 256G,8999.0,5.0,44995.0,U0071,四川,已取消,手机数码,,未知,,,,,2024-02-03,44995.0,False
DD202402259,2024-12-25,抖音,P026,小米电视 65寸,2999.0,4.0,11996.0,U0930,广东,已完成,家电,1.0,京东物流,3.0,2024-12-26,2024-12-28,,2024-12-25,11996.0,True
DD202402752,2024-05-07,京东,P009,小米手环8,249.0,4.0,996.0,U0503,四川,已发货,手机数码,2.0,圆通,4.0,2024-05-10,,,2024-05-07,996.0,True
DD202400198,2024-08-23,京东,P049,苏泊尔 炒锅,159.0,2.0,318.0,U0241,广东,已完成,家居日用,2.0,圆通,4.0,2024-08-25,2024-08-28,,2024-08-23,318.0,True
DD202402879,2024-08-28,拼多多,P009,小米手环8,,4.0,,U1134,广东,已发货,手机数码,2.0,圆通,4.0,2024-08-31,,,2024-08-28,,True
DD202401468,2024-11-14,天猫,P002,iPhone 15 Pro 256G,8999.0,4.0,35996.0,U0643,河北,已完成,手机数码,1.0,京东物流,3.0,2024-11-15,2024-11-16,,20241114,35996.0,True
DD202400899,2024-10-29,拼多多,P036,云南白药 牙膏,39.9,4.0,159.6,U0863,江苏,已取消,美妆个护,,未知,,,,,20241029,159.6,False
DD202402463,2024-03-10,微信小程序,P048,公牛 插线板,49.9,1.0,49.9,U1402,广东,已取消,家居日用,,未知,,,,,2024-03-10,49.9,False
DD202400979,2024-04-02,抖音,P007,airpods pro 2,1899.0,2.0,3798.0,U0619,河北,已完成,手机数码,1.0,京东物流,3.0,2024-04-03,2024-04-07,,2024-04-02,3798.0,True
DD202402815,2024-11-14,京东,P007,AirPods Pro 2,1899.0,3.0,5697.0,U1179,贵州,已完成,手机数码,2.0,中通,4.0,2024-11-16,2024-11-19,,2024-11-14,5697.0,True
DD202401190,2024-03-10,京东,P022,苏泊尔电饭煲,299.0,,,U0676,河北,已完成,家电,1.0,顺丰,3.0,2024-03-11,2024-03-12,,2024-03-10,,True
DD202400472,2024-11-15,拼多多,P032,太平鸟 牛仔裤 ,259.0,-2.0,-518.0,U0599,贵州,已退款,服饰,,未知,,,,价格保护,2024-11-15,-518.0,False
DD202400849,2024-04-17,京东,P015,华为平板 MatePad 11,2199.0,5.0,10995.0,U0779,福建,已完成,电脑办公,2.0,中通,4.0,2024-04-18,2024-04-22,,2024-04-17,10995.0,True
DD202401962,2024-04-26,天猫,P015,华为平板 MatePad 11,2199.0,3.0,6597.0,U0444,江苏,已取消,电脑办公,,未知,,,,,2024-04-26,6597.0,False
DD202400822,2024-03-23,微信小程序,P012,机械键盘 87键,199.0,-1.0,-199.0,U0977,江苏,已退款,电脑办公,,未知,,,,价格保护,2024-03-23,,False
DD202402347,2024-11-19,京东,P050,宜家 收纳箱,69.0,2.0,138.0,U1396,北京,已完成,家居日用,1.0,京东物流,3.0,2024-11-20,2024-11-23,,2024/11/19,138.0,True
DD202402129,2024-01-08,京东,P018,美的 1.5匹空调,2799.0,4.0,11196.0,U1332,广西,已发货,家电,1.0,京东物流,3.0,2024-01-09,,,2024/1/8,11196.0,True
DD202401487,2024-08-07,京东,P005,荣耀 magic6,3999.0,1.0,3999.0,U1337,福建,已完成,手机数码,3.0,邮政,6.0,2024-08-10,2024-08-13,,2024-08-07,3999.0,True
DD202400012,2024-03-13,拼多多,P021,米家扫地机器人,1599.0,-1.0,-1599.0,U0335,广西,已退款,家电,,未知,,,,七天无理由,2024-03-13,-1599.0,False
